timestamp,lon,lat,temperature,deviceRef
2026-06-18 23:02:26.133,2.187975,41.43526,24.2,217475
2026-06-18 23:03:07.273,2.187965,41.435276,24.1,217475
2026-06-18 23:09:37.578,2.187983,41.435284,24.0,217475
2026-06-18 23:10:18.718,2.187962,41.4353,23.9,217475
2026-06-18 23:16:49.578,2.187916,41.435204,23.5,217475
2026-06-18 23:23:14.790,2.18797,41.435312,23.2,217475
2026-06-18 23:23:55.930,2.187931,41.435236,23.3,217475
2026-06-18 23:24:37.090,2.187953,41.435328,23.6,217475
2026-06-18 23:45:50.453,2.187924,41.435152,23.2,217475
2026-06-18 23:52:39.314,2.188026,41.435212,23.3,217475
2026-06-18 23:53:20.454,2.187993,41.435216,23.4,217475
2026-06-19 00:17:08.461,2.187967,41.435316,23.3,217475
2026-06-19 00:31:39.488,2.187967,41.435288,23.4,217475
2026-06-19 00:32:20.628,2.187888,41.435276,23.4,217475
2026-06-19 00:33:01.768,2.187925,41.43528,23.4,217475
,2.187926,41.435316,26.5,217475
